org_id,Nota_Numero_Normalizado,Nota_Data_Emissao,Nota_Situacao,empresa,valor_faturado_nf,valor_venda,diferenca,comissao,frete,imposto,despesa_fixa,resultado,plataforma_resumo,pedido_resumo,n_linhas_pedido,produto_resumo,faturamento_nota_vinculada
esquilo,042515,2026-04-02 12:00:21,Emitida DANFE,Esquilo,262.87,0.0,-262.87,0.0,0.0,0.0,0.0,0.0,—,—,0,—,False
esquilo,042514,2026-04-02 11:00:44,Emitida DANFE,Esquilo,88.7,0.0,-88.7,0.0,0.0,0.0,0.0,0.0,—,—,0,—,False
esquilo,042513,2026-04-02 08:52:31,Autorizada,Esquilo,113.8,0.0,-113.8,0.0,0.0,0.0,0.0,0.0,—,—,0,—,False
esquilo,042480,2026-04-02 08:18:46,Autorizada,Esquilo,265.23,0.0,-265.23,0.0,0.0,0.0,0.0,0.0,—,—,0,—,False
esquilo,042425,2026-04-02 08:17:04,Autorizada,Esquilo,199.33,0.0,-199.33,0.0,0.0,0.0,0.0,0.0,—,—,0,—,False
esquilo,042426,2026-04-02 08:16:57,Autorizada,Esquilo,276.36,0.0,-276.36,0.0,0.0,0.0,0.0,0.0,—,—,0,—,False
esquilo,042427,2026-04-02 08:16:50,Autorizada,Esquilo,265.2,0.0,-265.2,0.0,0.0,0.0,0.0,0.0,—,—,0,—,False
esquilo,042428,2026-04-02 08:16:39,Autorizada,Esquilo,228.89,0.0,-228.89,0.0,0.0,0.0,0.0,0.0,—,—,0,—,False
esquilo,042429,2026-04-02 08:16:33,Autorizada,Esquilo,239.13,0.0,-239.13,0.0,0.0,0.0,0.0,0.0,—,—,0,—,False
esquilo,042430,2026-04-02 08:16:15,Autorizada,Esquilo,272.3,0.0,-272.3,0.0,0.0,0.0,0.0,0.0,—,—,0,—,False
esquilo,042431,2026-04-02 08:16:08,Autorizada,Esquilo,239.13,0.0,-239.13,0.0,0.0,0.0,0.0,0.0,—,—,0,—,False
esquilo,042432,2026-04-02 08:16:02,Autorizada,Esquilo,231.69,0.0,-231.69,0.0,0.0,0.0,0.0,0.0,—,—,0,—,False
esquilo,042433,2026-04-02 08:15:55,Autorizada,Esquilo,265.2,0.0,-265.2,0.0,0.0,0.0,0.0,0.0,—,—,0,—,False
esquilo,042435,2026-04-02 08:15:41,Autorizada,Esquilo,199.33,0.0,-199.33,0.0,0.0,0.0,0.0,0.0,—,—,0,—,False
esquilo,042436,2026-04-02 08:15:34,Autorizada,Esquilo,254.27,0.0,-254.27,0.0,0.0,0.0,0.0,0.0,—,—,0,—,False
esquilo,042437,2026-04-02 08:15:27,Autorizada,Esquilo,280.24,0.0,-280.24,0.0,0.0,0.0,0.0,0.0,—,—,0,—,False
esquilo,042438,2026-04-02 08:15:20,Autorizada,Esquilo,193.9,0.0,-193.9,0.0,0.0,0.0,0.0,0.0,—,—,0,—,False
esquilo,042439,2026-04-02 08:15:14,Autorizada,Esquilo,193.9,0.0,-193.9,0.0,0.0,0.0,0.0,0.0,—,—,0,—,False
esquilo,042440,2026-04-02 08:15:07,Autorizada,Esquilo,310.31,0.0,-310.31,0.0,0.0,0.0,0.0,0.0,—,—,0,—,False
esquilo,042441,2026-04-02 08:15:00,Autorizada,Esquilo,310.31,0.0,-310.31,0.0,0.0,0.0,0.0,0.0,—,—,0,—,False
